actor_id,name
242607235,Nathalie Cox
242766593,Una Merkel
242987763,Chita Rivera
243354577,Thomas Robinson
243415512,Sam Riley
243725584,Frankie Acciarito
243798923,David Moscow
243848055,Allen Leech
243890183,David Harris
243941496,Victor Argo
244136066,Jennifer Jason Leigh
244326228,Clea DuVall
244617801,Natalya Varley
244856825,Robert Sampson
244972196,Sally Lindsay
245006193,Merrie Spaeth
245060134,Keiko Yokozawa
245435364,Sari Lennick
245464960,Bong Soo Han
245474936,Barbara Crampton
245588159,Péter Scherer
245956710,Kaoru Kobayashi
246109423,Aki Asakura
246113705,Bruce Lee
247446712,Jean Parker
247472101,Dominique Swain
247554204,Halina Gryglaszewska
247597342,Leslie Hope
247636429,Ron Jeremy
248141123,Marie Dressler
248285143,Robert Paterson
248730445,Elena Ponsova
248833846,Showtaro Morikubo
249301332,Niels Schneider
249336702,Jean Martin
249543352,Alison Garland
249729938,Chin Siu-Ho
249841162,Jo Anne Worley
250102615,Amara Zaragoza
250119297,Leigh Whannell
250121202,Casey Kasem
250534737,Ashley Scott
250893138,Brent Roam
251098575,Rila Fukushima
251236091,Hugo Chávez
251313561,Darsheel Safary
251340020,Anatoliy Papanov
251696643,Felicity Jones
251750389,Patrick Bruel
251954322,Qiu Yuefeng
252062145,Vladimir Krutov
